"Label";"Copper – Grade A – LME (London Metal Exchange) spot price – Price in dollars per metric ton";"Codes"
"idBank";"010002052";""
"Last update";"17/11/2023 12:00";""
"Period";"";""
"2023-11";"";""
"2023-10";"7939.2";"A"
"2023-09";"8270.2";"A"
"2023-08";"8351.2";"A"
"2023-07";"8444.6";"A"
"2023-06";"8385.6";"A"
"2023-05";"8233.6";"A"
"2023-04";"8813.3";"A"
"2023-03";"8834.7";"A"
"2023-02";"8954.4";"A"
"2023-01";"8999.3";"A"
"2022-12";"8366.8";"A"
"2022-11";"8028.9";"A"
"2022-10";"7620.2";"A"
"2022-09";"7733.8";"A"
"2022-08";"7960.2";"A"
"2022-07";"7529.1";"A"
"2022-06";"9032.0";"A"
"2022-05";"9362.1";"A"
"2022-04";"10182.3";"A"
"2022-03";"10236.7";"A"
"2022-02";"9940.0";"A"
"2022-01";"9774.5";"A"
"2021-12";"9549.1";"A"
"2021-11";"9764.6";"A"
"2021-10";"9777.4";"A"
"2021-09";"9323.7";"A"
"2021-08";"9357.2";"A"
"2021-07";"9433.6";"A"
"2021-06";"9612.4";"A"
"2021-05";"10184.0";"A"
"2021-04";"9335.5";"A"
"2021-03";"9005.0";"A"
"2021-02";"8460.2";"A"
"2021-01";"7970.5";"A"
"2020-12";"7755.2";"A"
"2020-11";"7063.4";"A"
"2020-10";"6702.8";"A"
"2020-09";"6712.4";"A"
"2020-08";"6496.7";"A"
"2020-07";"6353.8";"A"
"2020-06";"5742.4";"A"
"2020-05";"5233.8";"A"
"2020-04";"5048.2";"A"
"2020-03";"5178.4";"A"
"2020-02";"5685.9";"A"
"2020-01";"6048.6";"A"
"2019-12";"6062.0";"A"
"2019-11";"5859.3";"A"
"2019-10";"5742.4";"A"
"2019-09";"5745.0";"A"
"2019-08";"5707.5";"A"
"2019-07";"5939.2";"A"
"2019-06";"5868.0";"A"
"2019-05";"6027.7";"A"
"2019-04";"6444.5";"A"
"2019-03";"6450.3";"A"
"2019-02";"6277.8";"A"
"2019-01";"5931.6";"A"
"2018-12";"6093.5";"A"
"2018-11";"6192.4";"A"
"2018-10";"6215.2";"A"
"2018-09";"6019.6";"A"
"2018-08";"6039.3";"A"
"2018-07";"6247.6";"A"
"2018-06";"6954.2";"A"
"2018-05";"6821.3";"A"
"2018-04";"6838.1";"A"
"2018-03";"6795.2";"A"
"2018-02";"7001.3";"A"
"2018-01";"7079.9";"A"
"2017-12";"6800.6";"A"
"2017-11";"6825.1";"A"
"2017-10";"6797.6";"A"
"2017-09";"6582.7";"A"
"2017-08";"6477.7";"A"
"2017-07";"5978.1";"A"
"2017-06";"5699.1";"A"
"2017-05";"5591.1";"A"
"2017-04";"5697.4";"A"
"2017-03";"5821.1";"A"
"2017-02";"5941.1";"A"
"2017-01";"5737.0";"A"
"2016-12";"5665.8";"A"
"2016-11";"5442.7";"A"
"2016-10";"4731.8";"A"
"2016-09";"4706.8";"A"
"2016-08";"4757.8";"A"
"2016-07";"4855.4";"A"
"2016-06";"4630.3";"A"
"2016-05";"4707.9";"A"
"2016-04";"4850.5";"A"
"2016-03";"4947.0";"A"
"2016-02";"4595.0";"A"
"2016-01";"4462.3";"A"
"2015-12";"4628.6";"A"
"2015-11";"4807.6";"A"
"2015-10";"5221.8";"A"
"2015-09";"5207.3";"A"
"2015-08";"5088.6";"A"
"2015-07";"5456.2";"A"
"2015-06";"5833.2";"A"
"2015-05";"6300.1";"A"
"2015-04";"6028.0";"A"
"2015-03";"5925.5";"A"
"2015-02";"5701.5";"A"
"2015-01";"5815.1";"A"
"2014-12";"6425.3";"A"
"2014-11";"6700.7";"A"
"2014-10";"6738.7";"A"
"2014-09";"6871.8";"A"
"2014-08";"7000.2";"A"
"2014-07";"7104.0";"A"
"2014-06";"6805.8";"A"
"2014-05";"6880.7";"A"
"2014-04";"6668.1";"A"
"2014-03";"6667.6";"A"
"2014-02";"7151.6";"A"
"2014-01";"7294.3";"A"
"2013-12";"7202.6";"A"
"2013-11";"7066.1";"A"
"2013-10";"7188.4";"A"
"2013-09";"7161.1";"A"
"2013-08";"7181.9";"A"
"2013-07";"6892.5";"A"
"2013-06";"7003.7";"A"
