Date,XAU= (BID)
,Close
30-Nov-23,2035.7545
29-Nov-23,2044.59
28-Nov-23,2040.89
27-Nov-23,2013.6429
24-Nov-23,2001.97
23-Nov-23,1991.79
22-Nov-23,1989.7235
21-Nov-23,1998.3693
20-Nov-23,1977.1941
17-Nov-23,1980.0077
16-Nov-23,1980.8512
15-Nov-23,1959.0912
14-Nov-23,1962.674
13-Nov-23,1945.89
10-Nov-23,1936.79
9-Nov-23,1958.19
8-Nov-23,1949.79
7-Nov-23,1968.4049
6-Nov-23,1977.6833
3-Nov-23,1992.2676
2-Nov-23,1985.507
1-Nov-23,1982.15
31-Oct-23,1982.705
30-Oct-23,1995.8784
27-Oct-23,2005.7837
26-Oct-23,1984.8177
25-Oct-23,1979.6184
24-Oct-23,1970.11
23-Oct-23,1972.5933
20-Oct-23,1981.0446
19-Oct-23,1973.7035
18-Oct-23,1947.6886
17-Oct-23,1923.0732
16-Oct-23,1919.4387
13-Oct-23,1931.6975
12-Oct-23,1868.649
11-Oct-23,1873.6082
10-Oct-23,1860.0874
9-Oct-23,1860.8815
6-Oct-23,1832.2573
5-Oct-23,1820.0059
4-Oct-23,1821.0754
3-Oct-23,1822.8116
2-Oct-23,1827.4033
29-Sep-23,1848.3134
28-Sep-23,1864.5591
27-Sep-23,1874.6953
26-Sep-23,1900.4861
25-Sep-23,1915.6553
22-Sep-23,1924.9875
21-Sep-23,1919.5691
20-Sep-23,1929.6838
19-Sep-23,1930.9449
18-Sep-23,1933.1396
15-Sep-23,1923.575
14-Sep-23,1910.3188
13-Sep-23,1906.3022
12-Sep-23,1913.2614
11-Sep-23,1921.6626
8-Sep-23,1917.8051
7-Sep-23,1919.1866
6-Sep-23,1916.2759
5-Sep-23,1925.8112
4-Sep-23,1938.1913
1-Sep-23,1938.795
31-Aug-23,1939.7441
30-Aug-23,1942.2399
29-Aug-23,1937.1222
28-Aug-23,1919.6586
25-Aug-23,1914.5255
24-Aug-23,1917.4348
23-Aug-23,1914.3149
22-Aug-23,1897.4651
21-Aug-23,1893.9449
18-Aug-23,1888.1934
17-Aug-23,1888.8873
16-Aug-23,1891.7622
15-Aug-23,1901.5571
14-Aug-23,1907.9026
11-Aug-23,1913.3182
10-Aug-23,1912.0607
9-Aug-23,1914.589
8-Aug-23,1924.8151
7-Aug-23,1936.3871
4-Aug-23,1941.6233
3-Aug-23,1933.7369
2-Aug-23,1933.5649
1-Aug-23,1944.0793
31-Jul-23,1964.1884
28-Jul-23,1959.2013
27-Jul-23,1944.9862
26-Jul-23,1972.1031
25-Jul-23,1964.5824
24-Jul-23,1954.5126
21-Jul-23,1960.2273
20-Jul-23,1969.6201
19-Jul-23,1977.251
18-Jul-23,1978.715
17-Jul-23,1954.7355
14-Jul-23,1954.9254
13-Jul-23,1960.1945
12-Jul-23,1957.0885
11-Jul-23,1931.995
10-Jul-23,1924.9937
7-Jul-23,1924.2825
6-Jul-23,1910.7972
5-Jul-23,1917.3224
4-Jul-23,1925.09
3-Jul-23,1921.4285
30-Jun-23,1919.5654
29-Jun-23,1908.1525
28-Jun-23,1907.4233
27-Jun-23,1913.3525
26-Jun-23,1922.8533
23-Jun-23,1921.3632
22-Jun-23,1913.516
21-Jun-23,1932.2631
20-Jun-23,1935.9139
19-Jun-23,1950.12
16-Jun-23,1957.3625
15-Jun-23,1957.6548
14-Jun-23,1942.9904
13-Jun-23,1943.3285
12-Jun-23,1956.9218
9-Jun-23,1960.5997
8-Jun-23,1967.7615
7-Jun-23,1939.6318
6-Jun-23,1962.8475
5-Jun-23,1961.7581
2-Jun-23,1947.6322
1-Jun-23,1977.8751
31-May-23,1962.3011
30-May-23,1959.1445
29-May-23,1942.84
26-May-23,1946.3251
25-May-23,1940.3364
24-May-23,1957.0114
23-May-23,1974.7275
22-May-23,1969.4316
19-May-23,1976.5551
18-May-23,1958.0533
17-May-23,1981.7222
16-May-23,1988.6034
15-May-23,2020.5997
12-May-23,2011.15
11-May-23,2015.5499
10-May-23,2029.51
9-May-23,2034.17
8-May-23,2021.39
5-May-23,2016.5428
4-May-23,2051.1084
3-May-23,2039.0168
2-May-23,2016.278
1-May-23,1982.0453
28-Apr-23,1989.6475
27-Apr-23,1987.8702
26-Apr-23,1989.4799
25-Apr-23,1997.8723
24-Apr-23,1988.8757
21-Apr-23,1982.8948
20-Apr-23,2004.3384
19-Apr-23,1993.2642
18-Apr-23,2004.926
17-Apr-23,1994.7711
14-Apr-23,2003.04
13-Apr-23,2039.735
12-Apr-23,2014.6711
11-Apr-23,2003.1409
10-Apr-23,1989.955
6-Apr-23,2008.0164
5-Apr-23,2020.3533
4-Apr-23,2019.9702
3-Apr-23,1984.1057
31-Mar-23,1967.9
30-Mar-23,1980.2502
29-Mar-23,1964.0404
28-Mar-23,1973.6927
27-Mar-23,1956.5594
24-Mar-23,1977.2172
23-Mar-23,1993.5033
22-Mar-23,1969.5811
21-Mar-23,1940.1461
20-Mar-23,1978.7122
17-Mar-23,1987.9301
16-Mar-23,1919.1161
15-Mar-23,1918.0975
14-Mar-23,1902.1171
13-Mar-23,1913.235
10-Mar-23,1867.83
9-Mar-23,1830.89
8-Mar-23,1813.59
7-Mar-23,1813.52
6-Mar-23,1846.85
3-Mar-23,1854.97
2-Mar-23,1836.0004
1-Mar-23,1836.8051
28-Feb-23,1827.15
27-Feb-23,1817.31
24-Feb-23,1810.81
23-Feb-23,1822.64
22-Feb-23,1825.04
21-Feb-23,1834.3232
20-Feb-23,1841.14
17-Feb-23,1841.59
16-Feb-23,1837.44
15-Feb-23,1836.19
14-Feb-23,1854.29
13-Feb-23,1853.39
10-Feb-23,1864.67
9-Feb-23,1861.39
8-Feb-23,1875.59
7-Feb-23,1873.81
6-Feb-23,1867.36
3-Feb-23,1865.53
2-Feb-23,1912.37
1-Feb-23,1950.42
31-Jan-23,1927.88
30-Jan-23,1922.5173
27-Jan-23,1927.34
26-Jan-23,1928.99
25-Jan-23,1945.93
24-Jan-23,1937.45
23-Jan-23,1931.3
20-Jan-23,1926.574
19-Jan-23,1931.39
18-Jan-23,1903.76
17-Jan-23,1908.39
16-Jan-23,1918.0006
13-Jan-23,1920.21
12-Jan-23,1896.86
11-Jan-23,1876.38
10-Jan-23,1877.27
9-Jan-23,1871.59
6-Jan-23,1865.71
5-Jan-23,1833.19
4-Jan-23,1854.09
3-Jan-23,1839.49
2-Jan-23,1823.6899
30-Dec-22,1824.4
29-Dec-22,1814.89
28-Dec-22,1804.09
27-Dec-22,1813.93
26-Dec-22,1797.6146
23-Dec-22,1797.91
22-Dec-22,1792.57
21-Dec-22,1814.13
20-Dec-22,1817.4084
19-Dec-22,1787.44
16-Dec-22,1792.34
15-Dec-22,1776.66
14-Dec-22,1807.27
13-Dec-22,1810.29
12-Dec-22,1781.15
9-Dec-22,1796.63
8-Dec-22,1789.23
7-Dec-22,1786.22
6-Dec-22,1770.91
5-Dec-22,1768.39
2-Dec-22,1797.82
1-Dec-22,1802.89
30-Nov-22,1768.45
29-Nov-22,1749.73
28-Nov-22,1740.75
25-Nov-22,1756.14
24-Nov-22,1754.96
23-Nov-22,1749.28
22-Nov-22,1740.24
21-Nov-22,1737.8081
18-Nov-22,1749.74
17-Nov-22,1760.87
16-Nov-22,1773.77
15-Nov-22,1778.25
14-Nov-22,1771.8
11-Nov-22,1770.69
10-Nov-22,1754.75
9-Nov-22,1706.32
8-Nov-22,1712.52
7-Nov-22,1674.68
4-Nov-22,1680.27
3-Nov-22,1629.15
2-Nov-22,1634.887
1-Nov-22,1647.5033
31-Oct-22,1633.1224
28-Oct-22,1641.76
27-Oct-22,1662.9399
26-Oct-22,1664.4884
25-Oct-22,1652.5239
24-Oct-22,1648.6
21-Oct-22,1656.66
20-Oct-22,1627.6637
19-Oct-22,1628.4883
18-Oct-22,1651.8273
17-Oct-22,1649.9447
14-Oct-22,1641.7584
13-Oct-22,1665.7972
